id;noun;LVC_stative_essere_in;LVC_stative_avere;LVC_stative_provare;LVC_stative_sentire;LVC_inchoative_prendere;LVC_inchoative_andare_in;LVC_inchoative_farsi;LVC_causative_fare;LVC_causative_dare;LVC_causative_mettere
1;acredine;essere in acredine;avere acredine;provare acredine;sentire acredine;prendere acredine;andare in acredine;farsi acredine;fare acredine;dare acredine;mettere acredine
2;acrimonia;essere in acrimonia;avere acrimonia;provare acrimonia;sentire acrimonia;prendere acrimonia;andare in acrimonia;farsi acrimonia;fare acrimonia;dare acrimonia;mettere acrimonia
4;agio;essere in agio;avere agio;provare agio;sentire agio;prendere agio;andare in agio;farsi agio;fare agio;dare agio;mettere agio
11;amore;essere in amore;avere amore;provare amore;sentire amore;prendere amore;andare in amore;farsi amore;fare amore;dare amore;mettere amore
12;angoscia;essere in angoscia;avere angoscia;provare angoscia;sentire angoscia;prendere angoscia;andare in angoscia;farsi angoscia;fare angoscia;dare angoscia;mettere angoscia
14;ansia;essere in ansia;avere ansia;provare ansia;sentire ansia;prendere ansia;andare in ansia;farsi ansia;fare ansia;dare ansia;mettere ansia
15;ansietà;essere in ansietà ;avere ansietà ;provare ansietà ;sentire ansietà ;prendere ansietà ;andare in ansietà;farsi ansietà;fare ansietà ;dare ansietà ;mettere ansietà 
16;antipatia;essere in antipatia;avere antipatia;provare antipatia;sentire antipatia;prendere antipatia;andare in antipatia;farsi antipatia;fare antipatia;dare antipatia;mettere antipatia
17;apatia;essere in apatia;avere apatia;provare apatia;sentire apatia;prendere apatia;andare in apatia;farsi apatia;fare apatia;dare apatia;mettere apatia
19;apprensione;essere in apprensione;avere apprensione;provare apprensione;sentire apprensione;prendere apprensione;andare in apprensione;farsi apprensione;fare apprensione;dare apprensione;mettere apprensione
22;astio;essere in astio;avere astio;provare astio;sentire astio;prendere astio;andare in astio;farsi astio;fare astio;dare astio;mettere astio
24;avversione;essere in avversione;avere avversione;provare avversione;sentire avversione;prendere avversione;andare in avversione;farsi avversione;fare avversione;dare avversione;mettere avversione
36;coraggio;essere in coraggio;avere coraggio;provare coraggio;sentire coraggio;prendere coraggio;andare in coraggio;farsi coraggio;fare coraggio;dare coraggio;mettere coraggio
37;cordoglio;essere in cordoglio;avere cordoglio;provare cordoglio;sentire cordoglio;prendere cordoglio;andare in cordoglio;farsi cordoglio;fare cordoglio;dare cordoglio;mettere cordoglio
42;desiderio;essere in desiderio;avere desiderio;provare desiderio;sentire desiderio;prendere desiderio;andare in desiderio;farsi desiderio;fare desiderio;dare desiderio;mettere desiderio
45;diffidenza;essere in diffidenza;avere diffidenza;provare diffidenza;sentire diffidenza;prendere diffidenza;andare in diffidenza;farsi diffidenza;fare diffidenza;dare diffidenza;mettere diffidenza
46;disaffezione;essere in disaffezione;avere disaffezione;provare disaffezione;sentire disaffezione;prendere disaffezione;andare in disaffezione;farsi disaffezione;fare disaffezione;dare disaffezione;mettere disaffezione
47;disagio;essere in disagio;avere disagio;provare disagio;sentire disagio;prendere disagio;andare in disagio;farsi disagio;fare disagio;dare disagio;mettere disagio
48;disamore;essere in disamore;avere disamore;provare disamore;sentire disamore;prendere disamore;andare in disamore;farsi disamore;fare disamore;dare disamore;mettere disamore
50;disappunto;essere in disappunto;avere disappunto;provare disappunto;sentire disappunto;prendere disappunto;andare in disappunto;farsi disappunto;fare disappunto;dare disappunto;mettere disappunto
52;disgusto;essere in disgusto;avere disgusto;provare disgusto;sentire disgusto;prendere disgusto;andare in disgusto;farsi disgusto;fare disgusto;dare disgusto;mettere disgusto
55;disinteresse;essere in disinteresse;avere disinteresse;provare disinteresse;sentire disinteresse;prendere disinteresse;andare in disinteresse;farsi disinteresse;fare disinteresse;dare disinteresse;mettere disinteresse
63;dolore;essere in dolore;avere dolore;provare dolore;sentire dolore;prendere dolore;andare in dolore;farsi dolore;fare dolore;dare dolore;mettere dolore
64;dubbio;essere in dubbio;avere dubbio;provare dubbio;sentire dubbio;prendere dubbio;andare in dubbio;farsi dubbio;fare dubbio;dare dubbio;mettere dubbio
65;eccitazione;essere in eccitazione;avere eccitazione;provare eccitazione;sentire eccitazione;prendere eccitazione;andare in eccitazione;farsi eccitazione;fare eccitazione;dare eccitazione;mettere eccitazione
66;emozione;essere in emozione;avere emozione;provare emozione;sentire emozione;prendere emozione;andare in emozione;farsi emozione;fare emozione;dare emozione;mettere emozione
67;empatia;essere in empatia;avere empatia;provare empatia;sentire empatia;prendere empatia;andare in empatia;farsi empatia;fare empatia;dare empatia;mettere empatia
68;entusiasmo;essere in entusiasmo;avere entusiasmo;provare entusiasmo;sentire entusiasmo;prendere entusiasmo;andare in entusiasmo;farsi entusiasmo;fare entusiasmo;dare entusiasmo;mettere entusiasmo
71;estasi;essere in estasi;avere estasi;provare estasi;sentire estasi;prendere estasi;andare in estasi;farsi estasi;fare estasi;dare estasi;mettere estasi
72;euforia;essere in euforia;avere euforia;provare euforia;sentire euforia;prendere euforia;andare in euforia;farsi euforia;fare euforia;dare euforia;mettere euforia
73;fastidio;essere in fastidio;avere fastidio;provare fastidio;sentire fastidio;prendere fastidio;andare in fastidio;farsi fastidio;fare fastidio;dare fastidio;mettere fastidio
75;fiducia;essere in fiducia;avere fiducia;provare fiducia;sentire fiducia;prendere fiducia;andare in fiducia;farsi fiducia;fare fiducia;dare fiducia;mettere fiducia
77;fifa;essere in fifa;avere fifa;provare fifa;sentire fifa;prendere fifa;andare in fifa;farsi fifa;fare fifa;dare fifa;mettere fifa
78;foga;essere in foga;avere foga;provare foga;sentire foga;prendere foga;andare in foga;farsi foga;fare foga;dare foga;mettere foga
80;frenesia;essere in frenesia;avere frenesia;provare frenesia;sentire frenesia;prendere frenesia;andare in frenesia;farsi frenesia;fare frenesia;dare frenesia;mettere frenesia
82;furia;essere in furia;avere furia;provare furia;sentire furia;prendere furia;andare in furia;farsi furia;fare furia;dare furia;mettere furia
