ID;Occurrences;Noun;Cxn;Process;Verb;Event_Type;Modification;Sem_NonSubjExperiencer;Sem_SubjStimulus;Verb_Form;Time;Corpus;Text_genre
CORIS_1;                   . Se invece Ã¨ la prima cosa che uno fa senza neanche cercare di capire se mi interessa o meno , la sensazione di essere preda < mi infastidisce > , e tanto . A quel punto un atteggiamento di nonchalance mi Ã¨ sempre gradito , entrambi sappiamo cosa potrebbe succedere              ;fastidio;SV;SV_parasynthetic;infastidire;causative;Non_Modified;Egophoric;Inanimate;Finite;1980_2000;Written;Websites
CORIS_10;                               . Il gene , sedotto il mondo della ricerca , calamita l ' interesse d ' industria e finanza , incuriosisce quando < non impaurisce > il pubblico , invade i mezzi d ' informazione . La biologia e in particolare la genetica , da cugine povere delle scienze             ;paura;SV;SV_parasynthetic;impaurire;causative;Non_Modified;Animate;Inanimate;Finite;1980_2000;Written;Press
CORIS_100;"                      arrivare sino_ai tempi nostri Ã¨ proprio l ' errore commesso da Beato : l ' aver riempito troppo il testo . CosÃ¬ facendo ha < talmente impressionato > i suoi contemporanei e ( attraverso varie mediazioni ) i suoi posteri , che ha ottenuto l ' eÃƒÂ´ "" Ã‚Â Â± etto contrario : ha            ";impressione;SV;SV_zero-derived;impressionare;causative;Modified;Animate;Animate;Finite;2011_2021;Written;NonFiction_prose
CORIS_101;                    Ã‚Â’ Ã¨ una rima su Renzi nel disco , ma a_parte questo la politica Ã¨ completamente assente dai vostri testi . GuÃ¨ Mi ha sempre < dato fastidio > che , per essere considerato dai giornalisti , sia importante parlare di politica . Io ho puntato tutto sulla sinceritÃ                ;fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Egophoric;Clausal;Finite;2011_2021;Written;Press
CORIS_102;                                 e dal sole , e hanno isolato l Ã‚Â’ auto parcheggiata con nastri gialli in_modo_che nessuno potesse avvicinarsi e < dare fastidio > . Oltre_a fornirle acqua e vermi , hanno assicurato che la vettura non verrÃ  spostata finchÃ© i pulcini non avranno preso              ;fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Zero;Animate;NonFinite_Infinitive;2011_2021;Written;Press
CORIS_103;                         vedendosi accostato dalle auto dei passanti . I cavalli di Agropoli , erranti per strada , hanno paura . Ancor di_piÃ¹ , < fanno paura > . Ancora una volta uno di loro Ã¨ stato brutalmente abbandonato al suo destino . Chi , di competenza , e mi riferisco alle             ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Zero;Animate;Finite;2011_2021;Written;Press
CORIS_105;                         tutto quello che gli resta , benchÃ© io sia solo il Federico dei benchÃ© . Hamil passeggia sul lungomare della Cala . Gli < fa paura > quel mare . Come dice il poeta della sua terra : Non viaggio per mare perchÃ© mi fa paura / coi suoi perigli . / Io sono fango ed      ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Animate;Inanimate;Finite;2011_2021;Written;Fiction_prose
CORIS_106;                   letto . Â« Ho sentito quello che hai detto . Â» Si passa una mano tra i capelli spettinati , chiaramente a disagio . PerchÃ© gli < dÃ  tanto fastidio > che siamo nella sua stanza ? Aspetta ... Â« Ma tu sei iscritto a questa confraternita ? Â» gli chiedo . Non riesco a                    ;fastidio;LVC;LVC_dare;dare fastidio;causative;Modified;Animate;Clausal;Finite;2011_2021;Written;Fiction_prose
CORIS_107;                     il subconscio . Avevo pianificato tutto , finchÃ© ho incontrato Hardin , e ora il mio futuro Ã¨ in continua evoluzione . Â« Ti < dÃ  fastidio > , vero ? Â» chiede lui . Fare l ' amore ha creato tra noi un legame invisibile , ci ha uniti nel corpo e nella mente . I               ;fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Egophoric;Unknown;Finite;2011_2021;Written;Fiction_prose
CORIS_109;                 immancabilmente Deborah . E lui come un trattore : Â« Volevo vederti . PerchÃ© ti dispiace ? Â» Â« No , che non mi dispiace , ma mi < fa paura > Â» , faceva lei . Â« Va ' che non sono mica uno stalker , sai ? Non ti farei mai del male Â» , la rassicurava lui , con una delle sue    ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Egophoric;Clausal;Finite;2011_2021;Written;Fiction_prose
CORIS_11;                        La ' Leche League Italia - Lega per l ' allattamento materno ' Ã¨ un ' organizzazione internazionale che da oltre trent ' < anni incoraggia > , informa e sostiene moralmente e praticamente le mamme che desiderano allattare al seno i propri bambini . Le                        ;coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Animate;Finite;1980_2000;Written;Press
CORIS_110;                               e stizzosa di Van Houten . Gentile signor Waters , ho ricevuto la sua lettera elettronica datata 14 aprile e sono < doverosamente impressionato > dalla complessitÃ  shakespeariana della sua tragedia . Tutti in questa storia hanno una hamartia dura come un sasso :                  ;impressione;SV;SV_zero-derived;impressionare;causative;Modified;Egophoric;Inanimate;Finite;2011_2021;Written;Fiction_prose
