word,cluster,label
umano,10,semi
cenno,9,mezzo
recluso,7,semi
segreto,10,semi
decomporre,5,semi
nano,7,mezzo
crepuscolare,0,semi
sanzione,6,mezzo
urlo,9,mezzo
timore,6,mezzo
monopolio,2,semi
giornalista,2,semi
coagulare,5,semi
permeabile,8,semi
trucchetto,1,mezzo
sbucciare,4,mezzo
incubo,9,mezzo
prezioso,8,semi
industriale,8,semi
investire,5,mezzo
rivolta,6,both
finito,3,semi
mafioso,6,mezzo
brivido,9,mezzo
rimangiare,5,mezzo
sconfitta,1,mezzo
asfissia,7,semi
paralizzare,5,semi
spennacchiare,3,mezzo
ecatombe,1,mezzo
monco,0,semi
fascista,11,semi
boomerang,1,mezzo
rovina,5,semi
storia,10,mezzo
amministrazione,2,semi
manufatto,8,semi
malaticcio,3,mezzo
opaco,4,semi
troia,7,mezzo
freudismo,11,mezzo
ombra,0,mezzo
rigido,8,semi
barbaro,11,semi
permamente,8,semi
pubblico,2,semi
annegamento,7,semi
divino,10,semi
comunistico,11,semi
bandito,7,mezzo
giardino,4,mezzo
spoglio,4,semi
gratuito,2,semi
uomo,10,both
parata,1,mezzo
affondare,5,semi
impiego,2,mezzo
curva,4,both
magico,10,semi
abbassare,5,mezzo
divulgativo,2,semi
coloniale,11,semi
militarizzazione,6,semi
spopolare,5,mezzo
amore,10,mezzo
presidenziale,11,semi
irriconoscibile,0,semi
scemo,7,mezzo
paese,11,mezzo
flop,1,mezzo
cartolina,4,mezzo
letale,10,semi
lite,6,mezzo
isolamento,7,semi
impermeabile,4,semi
cancellare,5,both
abbandono,7,semi
convinzione,10,mezzo
isterica,7,mezzo
inosservato,0,semi
romano,11,mezzo
aperto,0,both
nazionalistico,11,semi
colosso,2,mezzo
sussurrare,9,semi
piegare,5,both
incosciente,7,semi
legge,2,mezzo
legale,6,semi
trasparente,8,semi
influenzato,3,mezzo
materno,2,semi
strappato,5,semi
affogato,5,mezzo
ricurvo,4,mezzo
cultura,10,both
maniaco,7,mezzo
dramma,1,mezzo
dea,10,semi
commissariato,6,semi
